,District,Confirmed_Cases,Recovered_Cases,Death_Toll,Active_Cases
0,Anantapur,50088,46166,420,3502
1,Chittoor,50718,42231,543,7944
2,East Godavari,79643,67180,464,11999
3,Guntur,46645,38997,469,7179
4,Krishna,21873,18627,357,2889
5,Kurnool,52280,47977,425,3878
6,Prakasam,37865,23821,389,13655
7,S.P.S. Nellore,44950,40029,398,4523
8,Srikakulam,33425,26852,293,6280
9,Visakhapatnam,44912,38565,368,5979
10,Vizianagaram,28959,18708,204,10047
11,West Godavari,52520,42959,396,9165
12,Y.S.R. Kadapa,37152,31524,315,5313
13,Anjaw,78,51,0,27
14,Changlang,623,503,2,118
15,Dibang Valley,0,0,0,0
16,East Kameng,243,222,0,21
17,East Siang,422,266,1,155
18,Kamle,3,3,0,0
19,Kra Daadi,4,3,0,1
20,Kurung Kumey,19,7,0,12
21,Lepa Rada,80,64,0,16
22,Lohit,193,150,0,43
23,Longding,90,48,0,42
24,Lower Dibang Valley,159,69,0,90
25,Lower Siang,152,125,0,27
26,Lower Subansiri,124,60,0,64
27,Namsai,214,195,1,18
28,Pakke Kessang,32,28,0,4
29,Papum Pare,2450,1739,4,707
30,Shi Yomi,21,19,0,2
31,Siang,44,42,0,2
32,Tawang,234,162,1,71
33,Tirap,226,175,0,51
34,Upper Dibang Valley,4,1,0,3
35,Upper Siang,104,67,0,37
36,Upper Subansiri,170,149,0,21
37,West Kameng,449,365,3,81
38,West Siang,327,145,0,182
39,Araria,4361,3660,14,687
40,Arwal,1560,1428,7,125
41,Aurangabad,3344,3019,8,317
42,Banka,2001,1781,8,212
43,Begusarai,5903,5653,23,227
44,Bhagalpur,6701,6058,55,588
45,Bhojpur,3889,3715,29,145
46,Buxar,3217,3031,10,176
47,Darbhanga,2829,2445,20,364
48,East Champaran,5887,5389,33,465
49,Gaya,5206,4828,44,334
50,Gopalganj,3535,3009,2,524
51,Jamui,1893,1721,6,166
52,Jehanabad,2716,2508,8,200
53,Kaimur,1469,1335,9,125
54,Katihar,5222,4849,11,362
55,Khagaria,2536,2374,9,153
56,Kishanganj,2654,2333,10,311
57,Lakhisarai,2300,1947,7,346
58,Madhepura,2665,2350,9,306
59,Madhubani,5453,5022,16,415
60,Munger,2635,2428,36,171
61,Muzaffarpur,7179,6556,31,592
62,Nalanda,5212,4747,38,427
63,Nawada,2473,2222,16,235
64,Patna,24374,22369,188,1817
65,Purnia,5164,4538,9,617
66,Rohtas,4880,4553,34,293
67,Saharsa,4157,3616,7,534
68,Samastipur,3863,3542,26,295
69,Saran,4997,4569,27,401
70,Sheikhpura,2006,1844,5,157
71,Sheohar,956,854,1,101
72,Sitamarhi,3140,2934,10,196
73,Siwan,3344,3083,19,242
74,Supaul,3270,2788,8,474
75,Vaishali,3833,3590,27,216
76,West Champaran,4277,3845,16,416
77,Chandigarh Region,8592,5502,96,2994
78,Balod,1209,532,1,676
79,Baloda Bazar,1843,1009,12,822
80,Balrampur,606,385,1,220
81,Bametara,776,508,7,261
82,Bastar,1647,960,5,682
83,Bijapur,1066,549,6,511
84,Bilaspur,4992,1614,63,3315
85,Dakshin Bastar Dantewada,878,354,3,521
86,Dhamtari,1071,445,2,624
87,Durg,6726,2966,58,3702
88,Gariaband,810,523,6,281
89,Gaurela Pendra Marwahi,191,36,0,155
90,Janjgir Champa,2653,1214,15,1424
91,Jashpur,765,523,2,240
92,Kabeerdham,1324,405,5,914
93,Kondagaon,746,406,1,339
94,Korba,1640,1020,5,615
95,Koriya,974,445,7,522
96,Mahasamund,1473,636,16,821
97,Mungeli,856,333,0,523
98,Narayanpur,833,653,0,180
99,Raigarh,3871,2191,31,1649
100,Raipur,23621,11371,278,11972
101,Rajnandgaon,5575,2610,32,2933
102,Sukma,941,580,2,359
103,Surajpur,912,420,4,488
104,Surguja,1489,837,8,644
105,Uttar Bastar Kanker,1148,664,6,478
106,Delhi Region,225796,191203,4806,29787
107,Dadra and Nagar Haveli,1345,1198,1,146
108,Daman,1155,1089,1,65
109,Diu,284,244,0,40
110,Ahmedabad,34072,28130,1765,4177
111,Amreli,1694,1299,23,372
112,Anand,941,852,16,73
113,Aravalli,500,364,24,112
114,Banaskantha,1445,1425,20,0
115,Bharuch,1893,1681,16,196
116,Bhavnagar,3543,3088,52,403
117,Botad,629,471,5,153
118,Chhota Udaipur,421,336,2,83
119,Dahod,1466,1100,6,360
120,Dang,81,60,0,21
121,Devbhumi Dwarka,428,411,4,13
122,Gandhinagar,3010,2449,67,494
123,Gir Somnath,1193,1002,16,175
124,Jamnagar,4411,4062,34,315
125,Junagadh,2265,1937,29,299
126,Kheda,1114,1026,16,72
127,Kutch,1652,1204,31,417
128,Mahisagar,766,626,4,136
129,Mehsana,2007,1343,29,635
130,Morbi,1303,1004,15,284
131,Narmada,788,682,0,106
132,Navsari,1061,935,6,120
133,Panchmahal,1911,1555,17,339
134,Patan,1392,1193,39,160
135,Porbandar,382,361,4,17
136,Rajkot,6989,4803,116,2070
137,Sabarkantha,886,688,10,188
138,Surat,24821,21524,700,2597
139,Surendranagar,1466,1210,11,245
140,Tapi,484,445,4,35
141,Vadodara,10078,8407,151,1520
142,Valsad,1091,1009,10,72
143,Bilaspur,543,346,1,196
144,Chamba,644,501,5,138
145,Hamirpur,746,619,5,122
146,Kangra,1567,921,20,626
147,Kinnaur,121,79,0,42
148,Kullu,395,284,1,110
149,Lahaul and Spiti,29,8,0,21
150,Mandi,1030,431,11,588
151,Shimla,676,332,13,331
152,Sirmaur,1319,971,6,342
153,Solan,2359,1422,18,919
154,Una,906,503,9,394
155,Ambala,6198,4872,62,1264
156,Bhiwani,2110,1721,22,367
157,Charkhi Dadri,416,267,1,148
158,Faridabad,16409,14441,195,1773
159,Fatehabad,1748,998,23,727
160,Gurugram,15923,13334,151,2438
161,Hisar,4070,2892,33,1145
162,Italians,14,14,0,0
163,Jhajjar,1951,1456,19,476
164,Jind,1391,918,12,461
165,Kaithal,1853,1394,28,431
166,Karnal,5788,3864,78,1846
167,Kurukshetra,3909,2302,65,1542
168,Mahendragarh,2594,2090,3,501
169,Nuh,987,833,18,136
170,Palwal,2033,1805,14,214
171,Panchkula,4386,2964,51,1371
172,Panipat,5991,4429,59,1503
173,Rewari,4669,4079,26,564
174,Rohtak,4404,3262,46,1096
175,Sirsa,2502,1548,36,918
176,Sonipat,6278,5350,42,886
177,Yamunanagar,3012,2347,42,623
178,Bokaro,3168,2921,20,227
179,Chatra,1063,770,5,288
180,Deoghar,1880,1626,14,240
181,Dhanbad,4154,3113,48,993
182,Dumka,831,637,6,188
183,East Singhbhum,11002,8052,250,2700
184,Garhwa,1615,1433,7,175
185,Giridih,2822,2491,9,322
186,Godda,1069,929,6,134
187,Gumla,1356,935,2,419
188,Hazaribagh,2666,1960,21,685
189,Jamtara,575,520,1,54
190,Khunti,1139,878,3,258
191,Koderma,2181,1591,17,573
192,Latehar,1254,1032,1,221
193,Lohardaga,830,664,5,161
194,Pakur,589,517,1,71
195,Palamu,2084,1981,8,95
196,Ramgarh,2954,1939,15,1000
197,Ranchi,13912,10297,92,3523
198,Sahibganj,1092,962,9,121
199,Saraikela-Kharsawan,2187,1396,7,784
200,Simdega,1433,1053,4,376
201,West Singhbhum,2583,2053,20,510
202,Anantnag,2976,2196,54,726
203,Bandipora,2921,1940,29,952
204,Baramulla,3517,2445,114,958
205,Budgam,3947,2397,73,1477
206,Doda,1053,462,15,576
207,Ganderbal,2205,1642,26,537
208,Jammu,8998,2882,99,6017
209,Kathua,1422,924,13,485
210,Kishtwar,681,321,3,357
211,Kulgam,2108,1934,40,134
212,Kupwara,2906,1915,58,933
213,Pulwama,3274,2722,62,490
214,Punch,995,432,6,557
215,Rajouri,1626,856,18,752
216,Ramban,865,653,3,209
217,Reasi,632,374,3,255
218,Samba,1135,627,8,500
219,Shopiyan,1892,1703,29,160
220,Srinagar,11942,9784,255,1903
221,Udhampur,1559,853,6,700
222,Bagalkote,8389,6948,88,1353
223,Ballari,27131,22002,353,4776
224,Belagavi,16785,14090,244,2451
225,Bengaluru Rural,6993,5117,60,1816
226,Bengaluru Urban,176712,134516,2514,39682
227,Bidar,5545,4833,146,566
228,Chamarajanagara,3114,2589,56,469
229,Chikkaballapura,5976,4887,73,1016
230,Chikkamagaluru,6533,4677,104,1752
231,Chitradurga,5259,3682,33,1544
232,Dakshina Kannada,18092,13608,450,4034
233,Davanagere,13627,10648,227,2752
234,Dharwad,14681,11952,431,2298
235,Gadag,7692,6582,111,999
236,Hassan,12542,9042,236,3264
237,Haveri,6981,5089,132,1760
238,Kalaburagi,14760,12118,248,2394
239,Kodagu,2045,1625,27,393
240,Kolar,4608,3795,77,736
241,Koppal,9326,7431,194,1701
242,Mandya,8570,6531,87,1952
243,Mysuru,26740,19579,615,6546
244,Raichur,9628,7961,127,1540
245,Ramanagara,4409,3726,39,644
246,Shivamogga,12804,9121,207,3476
247,Tumakuru,9601,6718,199,2684
248,Udupi,14087,12043,129,1915
249,Uttara Kannada,7339,5149,85,2105
250,Vijayapura,8057,7194,138,725
251,Yadgir,7203,5943,48,1212
252,Alappuzha,8368,6196,18,2154
253,Ernakulam,9617,6442,50,3125
254,Idukki,2360,1835,3,522
255,Kannur,6511,4315,36,2160
256,Kasaragod,7421,5440,38,1943
257,Kollam,7296,4874,31,2391
258,Kottayam,6508,4270,3,2235
259,Kozhikode,9270,6567,44,2659
260,Malappuram,13565,10300,39,3226
