,Country,Confirmed_Cases,Death_Toll,Recovered_Cases,world
0,Afghanistan,38641,1420,31234,world
1,Albania,11185,330,6494,world
2,Algeria,48007,1605,33875,world
3,Andorra,1344,53,943,world
4,Angola,3335,132,1289,world
5,Antigua and Barbuda,95,3,91,world
6,Argentina,546481,11263,409771,world
7,Armenia,45675,911,41605,world
8,Australia,26651,810,23338,world
9,Austria,32696,754,26579,world
10,Azerbaijan,38172,559,35607,world
11,Bahamas,2928,67,1319,world
12,Bahrain,59586,211,53192,world
13,Bangladesh,336044,4702,238271,world
14,Barbados,180,7,158,world
15,Belarus,73975,744,72547,world
16,Belgium,92478,9923,18709,world
17,Belize,1458,19,458,world
18,Benin,2242,40,1793,world
19,Bhutan,244,0,159,world
20,Bolivia,125982,7297,82796,world
21,Bosnia and Herzegovina,23138,690,15922,world
22,Botswana,2252,10,546,world
23,Brazil,4315687,131210,3723206,world
24,Brunei,145,3,139,world
25,Bulgaria,17891,717,12758,world
26,Burkina Faso,1514,56,1127,world
27,Burma,2796,16,676,world
28,Burundi,471,1,374,world
29,Cabo Verde,4711,44,4104,world
30,Cambodia,275,0,274,world
31,Cameroon,20009,415,18837,world
32,Canada,138164,9220,121944,world
33,Central African Republic,4749,62,1825,world
34,Chad,1083,80,938,world
35,Chile,432666,11895,404919,world
36,China,90168,4734,85054,world
37,Colombia,708964,22734,592820,world
38,Comoros,456,7,415,world
39,Congo (Brazzaville),4928,88,3887,world
40,Congo (Kinshasa),10385,262,9719,world
41,Costa Rica,55454,590,20928,world
42,Cote d'Ivoire,18916,119,17960,world
43,Croatia,13368,218,10721,world
44,Cuba,4653,108,3878,world
45,Cyprus,1523,22,1281,world
46,Czechia,35401,453,21205,world
47,Denmark,19989,630,16671,world
48,Diamond Princess,712,13,651,world
49,Djibouti,5394,61,5327,world
50,Dominica,24,0,18,world
51,Dominican Republic,103092,1953,76531,world
52,Ecuador,116451,10864,91242,world
53,Egypt,100856,5627,83261,world
54,El Salvador,26851,782,17874,world
55,Equatorial Guinea,4996,83,4490,world
56,Eritrea,361,0,304,world
57,Estonia,2655,64,2252,world
58,Eswatini,5050,98,4188,world
59,Ethiopia,63888,996,24493,world
60,Fiji,32,2,24,world
61,Finland,8557,337,7500,world
62,France,402811,30902,90445,world
63,Gabon,8643,53,7706,world
64,Gambia,3376,102,1617,world
65,Georgia,2075,19,1363,world
66,Germany,260817,9352,231953,world
67,Ghana,45434,286,44342,world
68,Greece,13036,302,1347,world
69,Grenada,24,0,24,world
70,Guatemala,81658,2949,70403,world
71,Guinea,10020,63,9251,world
72,Guinea-Bissau,2275,39,1127,world
73,Guyana,1812,54,1191,world
74,Haiti,8478,219,6120,world
75,Holy See,12,0,12,world
76,Honduras,67136,2065,17760,world
77,Hungary,11825,633,4058,world
78,Iceland,2162,10,2085,world
79,India,4754356,78586,3702595,world
80,Indonesia,214746,8650,152458,world
81,Iran,399940,23029,344516,world
82,Iraq,286778,7941,221283,world
83,Ireland,30730,1783,23364,world
84,Israel,152722,1103,113496,world
85,Italy,286297,35603,213191,world
86,Jamaica,3623,40,1072,world
87,Japan,75206,1441,65934,world
88,Jordan,3062,22,2156,world
89,Kazakhstan,106803,1634,100615,world
90,Kenya,35969,619,22771,world
