State,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
West Bengal,24.4206,88.0343,23942,209146,4062,181142
Uttarakhand,30.0939,79.325,10884,34407,438,23085
Uttar Pradesh,27.1861,80.835,67335,324036,4604,252097
Tripura,23.7373,91.6575,7583,19715,207,11925
Telangana,17.7956,79.0397,30401,162844,996,131447
Tamil Nadu,10.8327,78.3436,46806,514208,8502,458900
Sikkim,27.6003,88.4524,463,2173,20,1690
Rajasthan,26.686,73.8182,16761,105898,1264,87873
Punjab,31.0732,75.6577,21154,84482,2514,60814
Puducherry,11.9246,79.7813,4674,20601,405,15522
Odisha,20.2057,84.4853,32214,158650,698,125738
Nagaland,26.1236,94.5493,1292,5229,10,3927
Mizoram,23.2379,92.8631,558,1480,0,922
Meghalaya,25.5682,91.2546,1818,4037,29,2190
Manipur,24.7664,93.8647,1745,8210,47,6418
Maharashtra,18.8493,75.4561,292174,1097856,30409,775273
Madhya Pradesh,23.5,78.5,21620,93053,1820,69613
Ladakh,34.9539,76.7666,938,3499,44,2517
Kerala,10.5502,76.4434,31226,114034,467,82341
Karnataka,15.0527,75.5344,98555,475265,7481,369229
Jharkhand,23.75,85.5,14118,64439,571,49750
Jammu and Kashmir,33.6619,74.8668,18678,56654,914,37062
Himachal Pradesh,31.8299,77.3506,3829,10335,89,6417
Haryana,29.3031,76.0522,20430,98622,1026,77166
Gujarat,23,72,16291,116345,3245,96809
Goa,15.3474,74.1033,5102,25511,315,20094
Delhi,28.6415,77.1259,29787,225796,4806,191203
Dadra NHDD,20.204,73.007,251,2784,2,2531
Chhattisgarh,21.5,82,35951,70777,588,34238
Chandigarh,30.7308,76.7808,2994,8592,96,5502
Bihar,25.75,85.75,13732,161101,836,146533
Assam,26.0667,90.7559,29183,146575,492,116900
Arunachal Pradesh,28.0762,94.9823,1795,6466,13,4658
Andhra Pradesh,14.9176,78.7448,92353,583925,5041,486531
Andaman and Nikobar Islands,12.612,92.8317,204,3574,52,3318
