District,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
Zunheboto,25.97,94.52,4,119,0,115
Yavatmal,20.4,78.1333,1741,5434,122,3571
Yanam,16.7211,82.1974,324,1350,35,991
Yamunanagar,30.1,77.283,623,3012,42,2347
Yadgir,16.7667,77.1333,1212,7203,48,5943
Y.S.R. Kadapa,14.4667,78.8167,5313,37152,315,31524
Wokha,26.1,94.27,1,35,0,34
West Tripura,23.9164572,91.2738397,3218,7305,115,3972
West Singhbhum,22.4249634,84.957906,510,2583,20,2053
West Siang,28.1664541,94.7323603,182,327,0,145
West Khasi Hills,25.6182609,91.0087914,14,65,1,50
West Kameng,27.3076012,91.8408374,81,449,3,365
West Jaintia Hills,25.449379,92.0564622,14,41,0,27
West Godavari,16.9830808,80.790408,9165,52520,396,42959
West Garo Hills,25.572762,89.8510856,183,587,1,403
West Champaran,27.049265,83.7387743,416,4277,16,3845
Wayanad,11.7060193,76.0697971,471,2151,5,1675
Washim,20.1,77.15,646,2928,52,2230
Wardha,20.75,78.6167,736,2355,26,1593
Vizianagaram,18.1167,83.4167,10047,28959,204,18708
Visakhapatnam,17.7,83.25,5979,44912,368,38565
Virudhunagar,26.0051102,85.0770747,400,13767,205,13162
Viluppuram,11.9333,79.4833,841,9705,85,8779
Vijayapura,13.293,77.801,725,8057,138,7194
Vidisha,23.5239,77.8061,272,1303,27,1004
Vellore,12.86,79.035,1076,12899,197,11626
Varanasi,25.3069,83.0061,2035,11105,211,8859
Valsad,20.6333,72.9333,72,1091,10,1009
Vaishali,26.0051102,85.0770747,216,3833,27,3590
Vadodara,22.3,73.2,1520,10078,151,8407
Uttarkashi,30.733,78.45,318,1390,4,1068
Uttara Kannada,14.7228611,74.0351611,2105,7339,85,5149
Uttar Dinajpur,25.8690638,87.6055345,321,2901,27,2553
Uttar Bastar Kanker,20.2641629,81.4892805,478,1148,6,664
Upper Subansiri,27.8026396,94.3210596,21,170,0,149
Upper Siang,28.7275205,94.3641584,37,104,0,67
Upper Dibang Valley,28.915827,95.6054422,3,4,0,1
Unokoti,24.2286904,91.919689,581,1231,9,641
Unnao,26.55,80.48,654,2869,57,2158
Una,31.4707271,76.2513334,394,906,9,503
Umaria,23.5313515,80.8074687,95,247,5,147
Ujjain,23.1828,75.7772,453,2310,84,1773
Udupi,13.3322,74.7461,1915,14087,129,12043
Udhampur,32.93,75.13,700,1559,6,853
Udham Singh Nagar,29.0445842,79.1168325,1311,6419,48,5060
Udaipur,24.60827,73.637018,335,2992,37,2620
Tumakuru,13.34,77.1,2684,9601,199,6718
Tuensang,26.28,94.83,4,74,0,70
Tonk,26.1667,75.7833,130,863,13,720
Tiruvannamalai,12.25,79.0833,1461,13485,197,11827
Tiruppur,11.1875,77.5772,1792,5200,87,3321
Tirupathur,12.5,78.6,561,3857,76,3220
Tirunelveli,8.8333,77.6667,1065,11309,191,10053
Tiruchirappalli,11.35,79.15,871,9017,132,8014
Tirap,27.1666663,95.7912452,51,226,0,175
Tikamgarh,24.6514,78.9814,124,600,18,458
Thrissur,10.5113799,76.1532098,2217,7122,29,4876
Thoothukkudi,8.7766073,78.0759768,719,12458,119,11620
Thiruvarur,10.7667,79.65,771,5538,65,4702
Thiruvananthapuram,8.4997267,76.854126,5447,22278,156,16675
Thiruvallur,13.1230555,79.9031978,2053,28903,490,26360
Theni,10,77.483,740,13914,160,13014
Thanjavur,10.8,79.15,997,8626,132,7497
Thane,19.18,72.9633,29240,160683,4361,127082
Tenkasi,8.9667,77.3167,615,6400,121,5664
Tehri Garhwal,30.3853899,78.4646797,435,1789,2,1352
Tawang,27.5860567,91.8506514,71,234,1,162
Tarn Taran,31.4491,74.9205,330,1239,46,863
Tapi,21.1873841,73.486256,35,484,4,445
Surguja,22.9497941,82.9418716,644,1489,8,837
Surendranagar,22.7167,71.7167,245,1466,11,1210
Surat,21.17,72.83,2597,24821,700,21524
Surajpur,23.2136005,82.8592001,488,912,4,420
Supaul,26.1083,86.6011,474,3270,8,2788
Sundargarh,22.1167,84.0333,875,5812,42,4895
Sultanpur,26.258835,82.0305362,464,2699,42,2193
Sukma,18.3909113,81.6500455,359,941,2,580
Subarnapur,20.8439419,83.8941031,838,1916,5,1073
State Pool,,,1599,1599,0,0
Srinagar,34.1066986,74.736715,1903,11942,255,9784
Srikakulam,18.3,83.9,6280,33425,293,26852
Sri Muktsar Sahib,30.475,74.515,702,1829,25,1102
South West Khasi Hills,25.3103378,90.9257716,5,6,0,1
South West Garo Hills,25.572762,89.8510856,10,24,0,14
South Tripura,23.189617,91.2878952,749,1569,9,811
