,State,City/Region,Population
0,Andhra Pradesh,Anantapur,4083315
1,Andhra Pradesh,Chittoor,4170468
2,Andhra Pradesh,East Godavari,5151549
3,Andhra Pradesh,Guntur,4889230
4,Andhra Pradesh,Krishna,4529009
5,Andhra Pradesh,Kurnool,4046601
6,Andhra Pradesh,Prakasam,3392764
7,Andhra Pradesh,S.P.S. Nellore,2966082
8,Andhra Pradesh,Srikakulam,2699471
9,Andhra Pradesh,Visakhapatnam,4288113
10,Andhra Pradesh,Vizianagaram,2342868
11,Andhra Pradesh,West Godavari,3934782
12,Andhra Pradesh,Y.S.R. Kadapa,2884524
13,Arunachal Pradesh,Anjaw,21089
14,Arunachal Pradesh,Changlang,147951
15,Arunachal Pradesh,East Kameng,78413
16,Arunachal Pradesh,East Siang,99019
17,Arunachal Pradesh,Kamle,22256
18,Arunachal Pradesh,Kurung Kumey,89717
19,Arunachal Pradesh,Lohit,145538
20,Arunachal Pradesh,Longding,60000
21,Arunachal Pradesh,Lower Dibang Valley,53986
22,Arunachal Pradesh,Lower Siang,80597
23,Arunachal Pradesh,Lower Subansiri,82839
24,Arunachal Pradesh,Namsai,95950
25,Arunachal Pradesh,Papum Pare,176385
26,Arunachal Pradesh,Shi Yomi,13310
27,Arunachal Pradesh,Siang,31920
28,Arunachal Pradesh,Tawang,49950
29,Arunachal Pradesh,Tirap,111997
30,Arunachal Pradesh,Upper Dibang Valley,7948
31,Arunachal Pradesh,Upper Siang,35289
32,Arunachal Pradesh,Upper Subansiri,83205
33,Arunachal Pradesh,West Kameng,87013
34,Arunachal Pradesh,West Siang,112272
35,Bihar,Araria,2806200
36,Bihar,Arwal,700843
37,Bihar,Aurangabad,2511243
38,Bihar,Banka,2029339
39,Bihar,Begusarai,2954367
40,Bihar,Bhagalpur,3032226
41,Bihar,Bhojpur,2720155
42,Bihar,Buxar,1707643
43,Bihar,Darbhanga,3921971
44,Bihar,East Champaran,5082868
45,Bihar,Gaya,4379383
46,Bihar,Gopalganj,2558037
47,Bihar,Jamui,1756078
48,Bihar,Jehanabad,1124176
49,Bihar,Kaimur,1626900
50,Bihar,Katihar,3068149
51,Bihar,Khagaria,1657599
52,Bihar,Kishanganj,1690948
53,Bihar,Lakhisarai,1000717
54,Bihar,Madhepura,1994618
55,Bihar,Madhubani,4476044
56,Bihar,Munger,1359054
57,Bihar,Muzaffarpur,4778610
58,Bihar,Nalanda,2872523
59,Bihar,Nawada,2216653
60,Bihar,Patna,5772804
61,Bihar,Purnia,3273127
62,Bihar,Rohtas,2962593
63,Bihar,Saharsa,1897102
64,Bihar,Samastipur,4254782
65,Bihar,Saran,3943098
66,Bihar,Sheikhpura,634927
67,Bihar,Sheohar,656916
68,Bihar,Sitamarhi,3419622
69,Bihar,Siwan,3318176
70,Bihar,Supaul,2228397
71,Bihar,Vaishali,3495021
72,Bihar,West Champaran,3935042
73,Chandigarh,Chandigarh,1055450
74,Chhattisgarh,Balod,826165
75,Chhattisgarh,Baloda Bazar,1305343
76,Chhattisgarh,Balrampur,598855
77,Chhattisgarh,Bametara,197035
78,Chhattisgarh,Bastar,1302253
79,Chhattisgarh,Bijapur,229832
80,Chhattisgarh,Bilaspur,1961922
81,Chhattisgarh,Dakshin Bastar Dantewada,533638
82,Chhattisgarh,Dhamtari,799199
83,Chhattisgarh,Durg,3343079
84,Chhattisgarh,Gariaband,597653
85,Chhattisgarh,Janjgir Champa,1620632
86,Chhattisgarh,Jashpur,852043
87,Chhattisgarh,Kabeerdham,584667
88,Chhattisgarh,Kondagaon,578326
89,Chhattisgarh,Korba,1206563
90,Chhattisgarh,Koriya,659039
91,Chhattisgarh,Mahasamund,1032275
92,Chhattisgarh,Mungeli,701707
93,Chhattisgarh,Narayanpur,140206
94,Chhattisgarh,Raigarh,1493627
95,Chhattisgarh,Raipur,4062160
96,Chhattisgarh,Rajnandgaon,1537520
97,Chhattisgarh,Sukma,249000
98,Chhattisgarh,Surajpur,660280
99,Chhattisgarh,Surguja,420661
100,Chhattisgarh,Uttar Bastar Kanker,748593
101,Delhi,Delhi,19814000
102,Dadra NHDD,Dadra and Nagar Haveli,343709
103,Dadra NHDD,Daman,191173
104,Dadra NHDD,Diu,52074
105,Gujarat,Ahmedabad,7208200
106,Gujarat,Amreli,1513614
107,Gujarat,Anand,2090276
108,Gujarat,Aravalli,1051746
109,Gujarat,Banaskantha,3116045
110,Gujarat,Bharuch,1550822
111,Gujarat,Bhavnagar,2877961
112,Gujarat,Botad,656005
113,Gujarat,Chhota Udaipur,1071831
114,Gujarat,Dahod,2126558
115,Gujarat,Dang,226769
116,Gujarat,Devbhumi Dwarka,752484
117,Gujarat,Gandhinagar,1387478
118,Gujarat,Gir Somnath,1217477
119,Gujarat,Jamnagar,2159130
120,Gujarat,Junagadh,2742291
121,Gujarat,Kheda,2298934
122,Gujarat,Kutch,2090313
123,Gujarat,Mahisagar,994624
124,Gujarat,Mehsana,2027727
125,Gujarat,Morbi,960329
126,Gujarat,Narmada,590379
127,Gujarat,Navsari,1330711
128,Gujarat,Panchmahal,2388267
129,Gujarat,Patan,1342746
130,Gujarat,Porbandar,586062
131,Gujarat,Rajkot,3157676
132,Gujarat,Sabarkantha,2427346
133,Gujarat,Surat,4996391
134,Gujarat,Surendranagar,1755873
135,Gujarat,Tapi,806489
136,Gujarat,Vadodara,3639775
137,Gujarat,Valsad,1703068
138,Himachal Pradesh,Bilaspur,382056
139,Himachal Pradesh,Chamba,518844
140,Himachal Pradesh,Hamirpur,454293
141,Himachal Pradesh,Kangra,1507223
142,Himachal Pradesh,Kinnaur,84298
143,Himachal Pradesh,Kullu,437474
144,Himachal Pradesh,Lahaul and Spiti,31528
145,Himachal Pradesh,Mandi,999518
146,Himachal Pradesh,Shimla,813384
147,Himachal Pradesh,Sirmaur,530164
148,Himachal Pradesh,Solan,576670
149,Himachal Pradesh,Una,521057
150,Haryana,Ambala,1136784
151,Haryana,Bhiwani,1629109
152,Haryana,Charkhi Dadri,502276
153,Haryana,Faridabad,1798954
154,Haryana,Fatehabad,941522
155,Haryana,Gurugram,1514085
156,Haryana,Hisar,1742815
157,Haryana,Jhajjar,956907
158,Haryana,Jind,1332042
159,Haryana,Kaithal,1072861
160,Haryana,Karnal,1506323
161,Haryana,Kurukshetra,964231
162,Haryana,Mahendragarh,921680
163,Haryana,Nuh,1089406
164,Haryana,Palwal,1040493
165,Haryana,Panchkula,558890
166,Haryana,Panipat,1202811
167,Haryana,Rewari,896129
168,Haryana,Rohtak,1058683
169,Haryana,Sirsa,1295114
170,Haryana,Sonipat,1480080
171,Haryana,Yamunanagar,1214162
172,Jharkhand,Bokaro,2061918
173,Jharkhand,Chatra,1042304
174,Jharkhand,Deoghar,1491879
175,Jharkhand,Dhanbad,2682662
176,Jharkhand,Dumka,1321096
177,Jharkhand,East Singhbhum,2291032
